"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,
"B45H0116","176350","400360","Rijksdriehoeksmeting","45H","Onbekend","17.6","Onbekend",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (% Ox.)","As (mg/kg)","Ba (mg/kg)","Ca (% Ox.)","Cr (mg/kg)","Ctot (%)","Cu (mg/kg)","Fe (% Ox.)","Ga (mg/kg)","K (% Ox.)","Mg (% Ox.)","Mn (% Ox.)","Na (% Ox.)","Nb (mg/kg)","Ni (mg/kg)","P (% Ox.)","Pb (mg/kg)","Rb (mg/kg)","S (mg/kg)","Si (% Ox.)","Sr (mg/kg)","Th (mg/kg)","Ti (% Ox.)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B45H0116",,"L1998-06-9017","2","1","16.0","17.0","","","","","","4.7214","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9018","1","1","17.0","18.0","1.5146100521087646","< 0","155","< 0","3.5999999046325684","","3.8489999771118164",".09092000126838684","< 0",".8283900022506714",".00215000007301569","< 0",".1535000056028366","2.132999897003174","4.936999797821045",".010169999673962593","6.88100004196167","24.34000015258789","< 0","95.15234375","19.972999572753906","6.377999782562256",".0064199999906122684","1.003000020980835","< 0","11.140999794006348","5.191999912261963","36.108001708984375"
"B45H0116",,"L1998-06-9018","2","1","17.0","18.0","","","","","","3.2677","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9019","1","1","18.0","19.0","1.488379955291748","< 0","144.10000610351562","< 0","5.099999904632568","","3.4170000553131104",".1106799989938736","< 0",".7580900192260742",".0025100000202655792","< 0",".14330999553203583","2.2869999408721924","6.318999767303467",".010250000283122063","5.394999980926514","22.648000717163086","< 0","95.39581298828125","18.525999069213867","8.402000427246094",".009940000250935555","< 0","1.2000000476837158","10.416000366210938","6.244999885559082","34.428001403808594"
"B45H0116",,"L1998-06-9019","2","1","18.0","19.0","","","","","","2.6956","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9020","1","1","19.0","20.0","1.8029899597167969",".09700000286102295","156.8000030517578","< 0","8.199999809265137","","4.289999961853027",".15082000195980072","< 0",".8527500033378601",".0021899999119341373","< 0",".1550000011920929","2.6449999809265137","6.11899995803833",".011020000092685223","6.414999961853027","26.177000045776367","< 0","94.97113800048828","20.395000457763672","8.017999649047852",".014050000347197056",".44600000977516174","1.2999999523162842","10.911999702453613","6.058000087738037","34.481998443603516"
"B45H0116",,"L1998-06-9020","2","1","19.0","20.0","","","","","","3.4941","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9021","1","1","20.0","21.0","1.3658599853515625",".5419999957084656","105.0999984741211","< 0","4.900000095367432","","3.6579999923706055",".15363000333309174","< 0",".5335800051689148",".0024500000290572643","< 0",".12690000236034393","2.252000093460083","6.448999881744385",".009569999761879444","5.013000011444092","16.538000106811523","35.5","94.85391998291016","13.590999603271484","7.703999996185303",".015189999714493752",".8240000009536743",".699999988079071","11.059000015258789","8.095999717712402","37.11899948120117"
"B45H0116",,"L1998-06-9021","2","1","20.0","21.0","","","","","","4.9828","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9022","1","1","21.0","22.0","2.6986498832702637","2.6089999675750732","136.89999389648438","< 0","13.199999809265137","","5.0920000076293945",".5836600065231323","< 0",".7184299826622009",".003719999920576811","< 0",".12780000269412994","3.510999917984009","10.583000183105469",".014120000414550304","7.301000118255615","27.273000717163086","211.1999969482422","92.75990295410156","18.190000534057617","5.211999893188477",".07028000056743622","< 0","12.600000381469727","13.288000106811523","13.369999885559082","73.45099639892578"
"B45H0116",,"L1998-06-9022","2","1","21.0","22.0","","","","","","4.6439","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9023","1","1","22.0","22.3","12.860540390014648","27.385000228881836","333.79998779296875","< 0","100.4000015258789","","16.63800048828125","3.414370059967041","12.774999618530273","2.2750799655914307",".018209999427199364",".728879988193512",".315530002117157","16.636999130249023","39.96200180053711",".05581999942660332","22.134000778198242","103.11399841308594","2285.5","69.87032318115234","56.12799835205078","14.119000434875488",".6591200232505798",".44200000166893005","99.9000015258789","45.19599914550781","80.30899810791016","384.3089904785156"
"B45H0116",,"L1998-06-9023","2","1","22.0","22.3","","","","","","8.9651","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9024","1","1","22.3","23.0","1.883810043334961","3.8450000286102295","107.19999694824219","< 0","21","","4.23799991607666",".4847300052642822","< 0",".5486299991607666",".003719999920576811","< 0",".13729000091552734","3.3239998817443848","8.505000114440918",".011680000461637974","6.440000057220459","17.60099983215332","283.29998779296875","93.87541961669922","14.14799976348877","3.1389999389648438",".0941300019621849","< 0","6.900000095367432","13.331000328063965","10.543999671936035","217.0500030517578"
"B45H0116",,"L1998-06-9024","2","1","22.3","23.0","","","","","","18.699","","","","","","","","","","","","","","","","","","","","","",""
