"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B51F0474","176510","397918","Rijksdriehoeksmeting","51F","GPS (Global Positioning System)","17.0","gemeten, overige methoden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al2O3 (%)","As (mg/kg)","Ba (mg/kg)","CaO (%)","Cr (mg/kg)","Cu (mg/kg)","Fe2O3 (%)","Ga (mg/kg)","K2O (%)","La (mg/kg)","MgO (%)","MnO (%)","Na2O (%)","Nb (mg/kg)","Nd (mg/kg)","Ni (mg/kg)","P2O5 (%)","Pb (mg/kg)","Rb (mg/kg)","S (%)","Sc (mg/kg)","SiO2 (%)","Sn (mg/kg)","Sr (mg/kg)","TGA(105-1000) (%)","TGA(105-450) (%)","TGA(20-105) (%)","TGA(450-550) (%)","TGA(550-800) (%)","TGA(800-1000) (%)","Th (mg/kg)","TiO2 (%)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B51F0474","01-08-2004","L2004-08-1630","1","1","11.55","11.58","10.58677","28.90824","308.1","0.38732","75.8","9.47696","2.67433","10.47816","1.85932","26.72216","0.55512","0.01039","0.315493555555556","12.62478","29.4","24.73112","0.02834","16.51738","76.16","0.607719507575758","9.2","71.9932","4.01443","54.44113","","","","","","","8.99242","0.56894","3.51565","80.4","30.11972","57.4366","364.44772"
"B51F0474","01-08-2004","L2004-08-1630","2","1","11.55","11.58","","","","","","","","","","","","","","","","","","","","","","","","","6.3773","4.373","1.104","1.064","0.546","0.3943","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1631","1","1","12.05","12.08","5.83799","6.03768","242.4","0.17735","43.5","3.38742","1.07514","5.62577","1.25397","19.31416","0.1974","0.00644","0.313953555555556","8.76477","21.1","10.74461","0.01679","8.34023","44.40676","0.0947395075757576","5.6","82.62427","< 0","37.39164","","","","","","","5.25164","0.39004","2.02761","35.5","17.73809","24.84529","347.60828"
"B51F0474","01-08-2004","L2004-08-1631","2","1","12.05","12.08","","","","","","","","","","","","","","","","","","","","","","","","","1.498","0.7021","0.5215","0.4929","0.1972","0.1058","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1632","1","1","12.85","12.88","0.22638","0.88475","47.7","< 0","5","0.33782","< 0","1.38003","0.02418","2.91539","< 0","< 0","0.0261835555555559","0.97129","5.3","< 0","0.00177","1.62529","2.39939","< 0","1.8","93.32052","< 0","7.73281","","","","","","","< 0","0.02194","0.9025","4.9","3.24109","< 0","21.24228"
"B51F0474","01-08-2004","L2004-08-1632","2","1","12.85","12.88","","","","","","","","","","","","","","","","","","","","","","","","","2.49066","1.896","0.3383","0.3231","0.1943","0.07726","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1633","1","1","13.6","13.63","3.05194","23.32551","173.8","0.11732","37.2","4.31913","0.78614","3.52539","0.80236","17.36168","0.07338","0.00232","0.175043555555556","3.94832","23.1","9.76782","0.00809","7.3234","28.31967","0.439039507575758","4.3","83.8845","< 0","23.53261","","","","","","","3.7292","0.13724","3.44734","58","20.72346","13.30442","79.28014"
"B51F0474","01-08-2004","L2004-08-1633","2","1","13.6","13.63","","","","","","","","","","","","","","","","","","","","","","","","","0.47468","0.2235","0.08282","0.1281","0.08289","0.04019","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1634","1","1","15.3","15.33","1.91222","2.24475","143.5","0.02843","13.9","1.04845","0.20124","2.58103","0.597","9.73758","0.02411","0.00049","0.149323555555556","2.61853","6.1","1.24655","0.00432","4.63597","19.97033","0.0196495075757575","2.3","89.08742","1.35563","17.36118","","","","","","","0.14524","0.086","2.45481","13.5","5.3646","5.30234","53.98218"
"B51F0474","01-08-2004","L2004-08-1634","2","1","15.3","15.33","","","","","","","","","","","","","","","","","","","","","","","","","0.27258","0.1317","< 0","0.06738","0.05819","0.01531","","","","","","",""
