"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,
"B46C0131","180830","400200","Rijksdriehoeksmeting","46C","Onbekend","22.3","Onbekend",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (% Ox.)","As (mg/kg)","Ba (mg/kg)","Ca (% Ox.)","Cr (mg/kg)","Ctot (%)","Cu (mg/kg)","Fe (% Ox.)","Ga (mg/kg)","K (% Ox.)","Mg (% Ox.)","Mn (% Ox.)","Na (% Ox.)","Nb (mg/kg)","Ni (mg/kg)","P (% Ox.)","Pb (mg/kg)","Rb (mg/kg)","S (mg/kg)","Si (% Ox.)","Sr (mg/kg)","Th (mg/kg)","Ti (% Ox.)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B46C0131",,"L1998-06-9172","1","1","25.0","26.0","12.120450019836426","6.479000091552734","288.1000061035156","9.665639877319336","77.9000015258789","","24.374000549316406","11.79518985748291","14.75","2.246649980545044",".3822599947452545","2.397049903869629",".36375001072883606","12.619999885559082","42.48500061035156",".14774000644683838","20.628000259399414","111.15499877929688","320","47.795589447021484","172.00999450683594","17.635000228881836",".5851799845695496","< 0","86.80000305175781","27.493999481201172","78.85600280761719","140.6009979248047"
"B46C0131",,"L1998-06-9172","2","1","25.0","26.0","","","","","","1.8668299913","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9173","1","1","26.0","27.0","11.83372974395752","5.883999824523926","254.39999389648438","14.645389556884766","73.69999694824219","","24.1299991607666","6.4522600173950195","13.895999908447266","2.229609966278076",".15106000006198883","2.451349973678589",".34042999148368835","11.897000312805176","41.21200180053711",".11210999637842178","20.413999557495117","107.4280014038086","297.8999938964844","48.87847137451172","266.5090026855469","17.42799949645996",".6286699771881104","< 0","84.0999984741211","26.104999542236328","78.18199920654297","121.7030029296875"
"B46C0131",,"L1998-06-9173","2","1","26.0","27.0","","","","","","9.4913196564","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9174","1","1","27.0","28.0","15.561129570007324","7.986999988555908","375.3999938964844","2.9865000247955322","104.4000015258789","","28.323999404907227","6.8391900062561035","19.735000610351562","2.9326400756835938",".11281999945640564","2.439079999923706",".39243000745773315","15.079000473022461","49.32500076293945",".13404999673366547","25.815000534057617","152.69200134277344","244.10000610351562","58.01755905151367","87.8010025024414","16.67300033569336",".6624900102615356","3.625999927520752","115","37.16899871826172","104.9800033569336","161.45199584960938"
"B46C0131",,"L1998-06-9174","2","1","27.0","28.0","","","","","","13.924240112","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9175","1","1","30.0","31.0","1.7071000337600708","3.059000015258789","141.10000610351562","< 0","11.600000381469727","","2.937000036239624",".346780002117157","< 0",".7462000250816345",".005319999996572733","< 0",".17114999890327454","2.5850000381469727","5.683000087738037",".01640000008046627","6.921000003814697","22.51799964904785","113.9000015258789","95.32286071777344","20.18899917602539","5.515999794006348",".012190000154078007","< 0","2.799999952316284","10.847000122070312","6.816999912261963","39.305999755859375"
"B46C0131",,"L1998-06-9175","2","1","30.0","31.0","","","","","","5.3790302277","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9176","1","1","31.0","32.0","1.8937100172042847","5.186999797821045","163.89999389648438","< 0","5.800000190734863","","1.4709999561309814",".5013499855995178","< 0",".8527200222015381",".0061599998734891415","< 0",".17600999772548676","2.388000011444092","6.517000198364258",".017510000616312027","7.366000175476074","26.464000701904297","221.60000610351562","94.17964935302734","23.30900001525879","4.552000045776367",".018069999292492867","< 0","3.4000000953674316","10.565999984741211","7.499000072479248","37.25199890136719"
"B46C0131",,"L1998-06-9176","2","1","31.0","32.0","","","","","","26.231689453","","","","","","","","","","","","","","","","","","","","","",""
