Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000050658,GAR000000055925,2,1987-10-20T11:00:00+01:00,,13238.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055958,3,1994-06-02T12:00:00+02:00,,15491.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000055986,1,1988-05-03T12:00:00+02:00,,5825.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056032,1,1990-06-26T12:00:00+02:00,0.88,13875.0,,,6.98,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056042,1,1988-01-19T11:00:00+01:00,,13190.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056044,2,1986-11-06T11:00:00+01:00,,13829.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056059,1,1994-06-02T12:00:00+02:00,,14104.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056091,3,1992-11-03T11:00:00+01:00,5.31,15000.0,,,6.4,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056100,3,1987-10-20T11:00:00+01:00,,14699.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056182,3,1988-10-21T11:00:00+01:00,,14690.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056193,1,1991-11-28T11:00:00+01:00,,15251.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056247,3,1986-11-06T11:00:00+01:00,,15147.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056255,3,1991-11-28T11:00:00+01:00,,16859.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056266,3,1997-06-09T12:00:00+02:00,,15705.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056274,1,1992-11-03T11:00:00+01:00,5.31,14000.0,,,7.2,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056307,1,1986-11-06T11:00:00+01:00,,5377.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056403,1,1989-05-03T12:00:00+02:00,,13745.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056443,2,1988-05-03T12:00:00+02:00,,13305.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056461,2,1992-11-03T11:00:00+01:00,5.31,14000.0,,,6.7,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056477,1,1988-10-21T11:00:00+01:00,,13265.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056482,2,1990-06-26T12:00:00+02:00,0.88,14180.0,,,6.9,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056486,1,1997-06-09T12:00:00+02:00,,13778.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056553,3,1989-11-28T11:00:00+01:00,,14985.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056555,2,1989-11-28T11:00:00+01:00,,13965.0,,,,POINT (3.50827296 51.352281288)
GMW000000050658,GAR000000056587,2,1991-11-28T11:00:00+01:00,,14399.0,,,,POINT (3.50827296 51.352281288)
GMW000000050680,GAR000000055649,2,1988-05-03T12:00:00+02:00,,16740.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000055672,1,1991-11-28T11:00:00+01:00,,369.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000055719,2,1991-11-28T11:00:00+01:00,,17029.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000055816,2,1989-05-03T12:00:00+02:00,,16060.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000055885,2,1988-10-21T11:00:00+01:00,,15630.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000055926,1,1988-05-03T12:00:00+02:00,,3435.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000055949,1,1990-04-02T12:00:00+02:00,,1480.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000055969,1,1986-11-06T11:00:00+01:00,,3465.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000056003,2,1989-11-28T11:00:00+01:00,,15960.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000056021,2,1990-04-02T12:00:00+02:00,,15795.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000056037,2,1986-11-06T11:00:00+01:00,,15945.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000056065,1,1988-10-21T11:00:00+01:00,,215.0,,,,POINT (3.477095917 51.356179699)
GMW000000050680,GAR000000056089,1,1987-10-20T11:00:00+01:00,,3181.0,,,,POINT (3.477095917 51.356179699)
