Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000011599,GAR000000004975,1,2006-06-08T12:00:00+02:00,0.01,240.0,,14.6,7.32,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004976,1,2015-10-23T12:00:00+02:00,0.05,250.0,,19.7,6.5,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004977,1,2018-11-13T11:00:00+01:00,0.05,180.0,0.17,15.9,6.6,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004978,2,1994-11-15T11:00:00+01:00,0.01,780.0,,,,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004979,2,1996-11-26T11:00:00+01:00,0.11,750.0,,11.0,6.8,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004980,2,2003-01-24T11:00:00+01:00,0.11,860.0,,,,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004981,2,2006-06-08T12:00:00+02:00,0.01,860.0,,12.1,7.26,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004982,2,2015-10-23T12:00:00+02:00,0.05,150.0,,19.6,6.7,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004983,2,2018-11-13T11:00:00+01:00,0.05,910.0,0.14,15.8,6.7,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004984,3,1994-11-15T11:00:00+01:00,0.01,630.0,,,,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004985,3,1996-11-26T11:00:00+01:00,0.11,740.0,,11.0,6.8,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004986,3,2003-01-24T11:00:00+01:00,0.22,2000.0,,,,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004987,3,2015-10-23T12:00:00+02:00,0.05,50.0,,19.6,6.7,POINT (5.69379459 52.666972922)
GMW000000011599,GAR000000004988,3,2018-11-13T11:00:00+01:00,0.05,2200.0,0.14,16.3,6.8,POINT (5.69379459 52.666972922)
GMW000000011611,GAR000000004960,1,1994-11-15T11:00:00+01:00,0.01,740.0,,,,POINT (5.668324812 52.613922526)
GMW000000011611,GAR000000004961,1,1996-11-26T11:00:00+01:00,0.11,710.0,,11.0,6.75,POINT (5.668324812 52.613922526)
GMW000000011611,GAR000000004962,1,2006-06-08T12:00:00+02:00,0.01,720.0,,13.4,7.23,POINT (5.668324812 52.613922526)
GMW000000011611,GAR000000004963,1,2015-10-22T12:00:00+02:00,0.07,790.0,,21.1,6.6,POINT (5.668324812 52.613922526)
GMW000000011611,GAR000000004964,1,2018-11-15T11:00:00+01:00,0.05,740.0,0.15,12.8,6.7,POINT (5.668324812 52.613922526)
GMW000000011611,GAR000000004965,2,1994-11-15T11:00:00+01:00,0.01,1820.0,,,,POINT (5.668324812 52.613922526)
GMW000000011611,GAR000000004966,2,1996-11-26T11:00:00+01:00,0.11,1700.0,,11.0,6.85,POINT (5.668324812 52.613922526)
GMW000000011611,GAR000000004967,3,1994-11-15T11:00:00+01:00,0.01,2190.0,,,,POINT (5.668324812 52.613922526)
GMW000000011611,GAR000000004968,3,1996-11-26T11:00:00+01:00,0.11,1500.0,,11.0,6.85,POINT (5.668324812 52.613922526)
GMW000000011611,GAR000000004969,3,2015-10-22T12:00:00+02:00,0.12,3600.0,,21.1,7.0,POINT (5.668324812 52.613922526)
GMW000000011611,GAR000000004970,3,2018-11-15T11:00:00+01:00,0.05,3000.0,0.15,12.0,7.1,POINT (5.668324812 52.613922526)
GMW000000011613,GAR000000004880,1,1996-10-29T11:00:00+01:00,0.11,140.0,,13.0,8.15,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004881,1,1998-08-31T12:00:00+02:00,,,0.3,17.8,11.74,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004882,1,2003-01-28T11:00:00+01:00,0.11,145.0,,,,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004883,1,2006-06-06T12:00:00+02:00,0.01,180.0,,14.2,11.3,POINT (5.860227577 52.733919941)
