Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000015300,GAR000000012896,1,1995-10-19T11:00:00+01:00,0.91,11.0,,9.7,6.35,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012897,1,1996-12-11T11:00:00+01:00,1.02,20.5,,8.7,7.33,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012898,1,1999-01-25T11:00:00+01:00,0.35,14.0,,10.7,7.5,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012899,1,2001-11-15T11:00:00+01:00,0.41,16.0,,7.7,7.3,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012900,1,2002-11-20T11:00:00+01:00,0.63,15.0,,,7.6,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012901,1,2003-11-26T11:00:00+01:00,1.01,19.0,,,7.9,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012902,1,2004-11-23T11:00:00+01:00,1.35,18.0,,10.4,7.7,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012903,1,2012-07-16T12:00:00+02:00,3.39,15.87,8.18,10.9,8.0,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012904,1,2018-10-22T12:00:00+02:00,3.1,17.0,910.0,15.5,7.8,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012905,2,1991-11-21T11:00:00+01:00,1.11,9.0,,,7.91,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012906,2,1992-03-18T11:00:00+01:00,0.21,10.0,,9.6,7.88,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012907,2,1993-12-16T11:00:00+01:00,0.72,11.0,,9.8,8.12,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012908,2,1994-10-05T11:00:00+01:00,0.64,11.0,,9.6,8.1,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012909,2,1995-10-19T11:00:00+01:00,0.21,12.0,,10.5,8.11,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012910,2,1996-12-11T11:00:00+01:00,0.23,14.7,,9.2,8.12,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012911,2,1999-01-25T11:00:00+01:00,1.85,16.0,,10.6,7.5,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012912,2,2001-11-15T11:00:00+01:00,3.5,20.0,,7.8,7.6,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012913,2,2002-11-20T11:00:00+01:00,3.1,16.0,,,8.0,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012914,2,2003-11-26T11:00:00+01:00,4.06,19.0,,,8.0,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012915,2,2004-11-23T11:00:00+01:00,4.06,18.0,,10.3,7.9,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012916,2,2011-01-17T11:00:00+01:00,4.59,17.31,3.81,10.2,7.6,POINT (5.210919951 52.2839808)
GMW000000015300,GAR000000012917,2,2012-07-16T12:00:00+02:00,6.47,18.78,6.25,10.7,7.3,POINT (5.210919951 52.2839808)
GMW000000015372,GAR000000005512,1,1996-11-22T11:00:00+01:00,,,,10.9,,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000005513,2,1996-11-22T11:00:00+01:00,,,,10.8,,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000005514,3,1996-11-22T11:00:00+01:00,,,,10.8,,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000005515,4,1996-11-22T11:00:00+01:00,,,,11.1,,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012862,1,1996-09-19T12:00:00+02:00,0.09,93.0,,12.4,6.27,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012863,1,1999-01-26T11:00:00+01:00,3.0,18.0,,8.1,6.3,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012864,1,2001-11-15T11:00:00+01:00,9.4,8.6,,9.5,6.0,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012865,1,2002-11-20T11:00:00+01:00,4.5,6.6,,,6.4,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012866,1,2003-11-26T11:00:00+01:00,0.97,23.0,,,6.6,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012867,1,2004-11-23T11:00:00+01:00,1.19,14.0,,10.2,6.6,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012868,1,2006-04-03T12:00:00+02:00,1.6,15.0,,5.4,6.5,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012869,1,2009-06-22T12:00:00+02:00,8.7,21.0,0.24,11.1,6.1,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012870,1,2018-11-05T11:00:00+01:00,0.05,65.0,0.14,19.0,6.2,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012871,2,1996-09-19T12:00:00+02:00,0.14,201.0,,10.1,7.33,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012872,2,1999-01-26T11:00:00+01:00,0.21,230.0,,9.9,7.2,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012873,2,2003-11-26T11:00:00+01:00,0.07,210.0,,,7.4,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012874,2,2004-11-23T11:00:00+01:00,0.08,200.0,,10.4,7.0,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012875,2,2009-06-22T12:00:00+02:00,0.05,210.0,0.05,10.7,7.0,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012876,2,2018-11-05T11:00:00+01:00,0.05,140.0,0.01,18.3,6.8,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012877,3,1996-09-19T12:00:00+02:00,0.05,221.0,,10.4,7.6,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012878,3,1999-01-26T11:00:00+01:00,0.03,220.0,,10.0,7.5,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012879,3,2018-11-05T11:00:00+01:00,0.05,180.0,0.08,18.7,7.3,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012880,4,1996-09-19T12:00:00+02:00,0.12,201.0,,10.5,7.55,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012881,4,2009-06-22T12:00:00+02:00,0.05,280.0,0.06,11.3,7.4,POINT (5.140085702 52.285202116)
GMW000000015372,GAR000000012882,4,2018-11-05T11:00:00+01:00,0.05,200.0,0.05,18.9,7.3,POINT (5.140085702 52.285202116)
GMW000000015381,GAR000000005523,1,1992-03-18T11:00:00+01:00,,,,10.0,4.6,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000005524,3,1992-03-18T11:00:00+01:00,,,,9.8,8.11,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000005525,3,1994-02-10T11:00:00+01:00,,,,10.0,8.21,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012490,1,1991-11-22T11:00:00+01:00,1.6,3.0,,,4.86,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012491,1,1993-11-09T11:00:00+01:00,0.49,11.0,,10.4,4.54,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012492,1,1994-02-10T11:00:00+01:00,,,7.6,10.6,4.34,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012493,1,1994-10-04T11:00:00+01:00,2.25,10.0,,10.0,4.53,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012494,1,1995-10-19T11:00:00+01:00,1.59,6.0,,10.6,4.47,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012495,1,1996-09-17T12:00:00+02:00,0.64,5.2,,9.8,4.33,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012496,1,1999-01-21T11:00:00+01:00,0.21,7.3,,10.6,4.7,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012497,1,2001-11-15T11:00:00+01:00,0.1,6.5,,9.1,4.3,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012498,1,2002-11-19T11:00:00+01:00,0.11,6.6,,,4.9,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012499,1,2003-11-26T11:00:00+01:00,0.04,6.6,,,5.5,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012500,1,2004-11-23T11:00:00+01:00,0.13,5.0,,10.2,5.3,POINT (5.169239701 52.197529676)
GMW000000015381,GAR000000012501,1,2006-04-06T12:00:00+02:00,0.14,14.0,,10.2,4.9,POINT (5.169239701 52.197529676)
