name,extrude,altitudeMode,WKT
"GAR000000013860.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000051007.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013851.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013856.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013855.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013862.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013853.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000013858.csv","true","relativeToGround","POINT (6.060620463 50.895355946)"
"GAR000000033241.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033095.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033090.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033223.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033376.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033104.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033072.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000043270.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033098.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033102.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033319.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033084.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033107.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033111.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000036207.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000043923.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033175.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033161.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033346.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033101.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033106.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033248.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033243.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033118.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033320.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033375.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033181.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033108.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000043285.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033201.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033112.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033099.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033094.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033345.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033377.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033224.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033085.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033242.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033251.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033062.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033235.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033199.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033061.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033180.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033078.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033379.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033073.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033069.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033200.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033100.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033105.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033321.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000036204.csv","true","relativeToGround","POINT (5.913791555 50.807531083)"
"GAR000000033323.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
"GAR000000033314.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
"GAR000000033325.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
"GAR000000033327.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
"GAR000000033313.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
