"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,
"B45G0006","168402","402500","Rijksdriehoeksmeting","45G","Onbekend","10.0","Onbekend",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (% Ox.)","As (mg/kg)","Ba (mg/kg)","Ca (% Ox.)","Cr (mg/kg)","Cu (mg/kg)","Fe (% Ox.)","Ga (mg/kg)","K (% Ox.)","Mg (% Ox.)","Mn (% Ox.)","Na (% Ox.)","Nb (mg/kg)","Ni (mg/kg)","P (% Ox.)","Pb (mg/kg)","Rb (mg/kg)","S (mg/kg)","Si (% Ox.)","Sr (mg/kg)","Th (mg/kg)","Ti (% Ox.)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B45G0006",,"L1998-07-9238","1","1","32.3","34.3","2.4556000232696533","3.566999912261963","214.89999389648438","< 0","14.5","5.90500020980835",".39267998933792114","< 0","1.079300045967102",".0034799999557435513","< 0",".26607999205589294","2.444000005722046","8.968000411987305",".01809000037610531","8.47700023651123","33.606998443603516","68.5","93.86293029785156","29.84000015258789","8.72700023651123",".029570000246167183","< 0","3.5999999046325684","10.579000473022461","15.595000267028809","58.27399826049805"
"B45G0006",,"L1998-07-9239","1","1","34.3","35.8","2.1208300590515137","1.7719999551773071","171.5","< 0","8.600000381469727","2.927000045776367",".32322001457214355","< 0",".9802299737930298",".0032399999909102917","< 0",".23558999598026276","2.316999912261963","7.980000019073486",".017640000209212303","8.63700008392334","31.180999755859375","18.600000381469727","94.4584732055664","24.648000717163086","5.942999839782715",".018540000542998314","< 0","1.399999976158142","11.25100040435791","11.41100025177002","46.487998962402344"
"B45G0006",,"L1998-07-9240","1","1","35.8","37.3","1.2182300090789795",".5920000076293945","89.19999694824219","< 0","10.899999618530273","5.3480000495910645",".23054000735282898","< 0",".40584999322891235",".002739999908953905","< 0",".1793700009584427","1.8259999752044678","7.038000106811523",".011180000379681587","4.854000091552734","12.02400016784668","< 0","96.85418701171875","13.640999794006348","6.068999767303467",".005549999885261059","< 0","< 0","10.083000183105469","9.720000267028809","27.78700065612793"
"B45G0006",,"L1998-07-9241","1","1","37.3","41.3","3.1179399490356445","1.5820000171661377","222","< 0","12.699999809265137","3.259999990463257",".36621999740600586",".531000018119812","1.3570200204849243",".0040699997916817665","< 0",".45987001061439514","2.9079999923706055","7.35699987411499",".0354899987578392","8.38700008392334","43.78200149536133","< 0","92.89166259765625","37.10599899291992","4.769000053405762",".027939999476075172","< 0","2.4000000953674316","11.444000244140625","8.593000411987305","43.994998931884766"
"B45G0006",,"L1998-07-9242","1","1","41.3","48.5","5.077919960021973","2.1540000438690186","237.60000610351562",".588949978351593","23.799999237060547","5.298999786376953","1.0859899520874023","3.2149999141693115","1.7932699918746948",".01425000000745058",".36059001088142395",".8826900124549866","4.193999767303467","12.741999626159668",".06112999841570854","11.89799976348877","58.64799880981445","58.099998474121094","87.41829681396484","48.48899841308594","8.211999893188477",".10502000153064728","< 0","9.199999809265137","14.128000259399414","17.39900016784668","105.0770034790039"
"B45G0006",,"L1998-07-9243","1","1","48.5","50.75","3.6115400791168213","3.5350000858306885","228.6999969482422",".3451699912548065","19.899999618530273","3.484999895095825",".831570029258728",".6159999966621399","1.4191800355911255",".011989999562501907",".22782999277114868",".5377299785614014","3.5199999809265137","9.652000427246094",".04035999998450279","9.642000198364258","44.24599838256836","229.10000610351562","90.65457916259766","39.665000915527344","5.859000205993652",".06576000154018402",".17399999499320984","7.699999809265137","13.369000434875488","12.234999656677246","84.45800018310547"
"B45G0006",,"L1998-07-9244","1","1","50.75","51.5","4.188029766082764","14.026000022888184","229.10000610351562",".6562899947166443","27.399999618530273","5.104000091552734","1.2908300161361694","1.5449999570846558","1.4102100133895874",".017349999397993088",".36044999957084656",".588890016078949","3.9749999046325684","13.817999839782715",".05235999822616577","11.557000160217285","46.672000885009766","1344","88.3861083984375","43.691001892089844","7.558000087738037",".09356000274419785","< 0","12.5","16.26799964904785","16.735000610351562","121.43699645996094"
"B45G0006",,"L1998-07-9245","1","1","51.5","54.0","2.9288899898529053","5.706999778747559","216.89999389648438",".0857200026512146","16","3.249000072479248",".6524500250816345",".6690000295639038","1.2716100215911865",".011739999987185001",".03717000037431717",".39987999200820923","2.947999954223633","9.182999610900879",".027249999344348907","8.237000465393066","38.189998626708984","375.70001220703125","92.31804656982422","34.25199890136719","4.5320000648498535",".03308999910950661","< 0","4.300000190734863","10.878999710083008","10.604000091552734","49.707000732421875"
"B45G0006",,"L1998-07-9246","1","1","54.0","56.8","2.0988199710845947","4.7829999923706055","195","< 0","10.199999809265137","2.694999933242798",".4152100086212158","< 0","1.0035400390625",".005690000019967556","< 0",".24629999697208405","2.490999937057495","7.343999862670898",".019300000742077827","6.8429999351501465","29.131000518798828","256.79998779296875","93.99243927001953","28.402999877929688","5.35099983215332",".014209999702870846","< 0","1.2999999523162842","9.17300033569336","7.769000053405762","42.31100082397461"
"B45G0006",,"L1998-07-9247","1","1","56.8","57.4","3.4851200580596924","6.206999778747559","224.5","2.215679883956909","22.100000381469727","3.5480000972747803",".9796800017356873",".7289999723434448","1.2818000316619873",".017729999497532845",".2644999921321869",".498199999332428","3.509000062942505","10.968000411987305",".043779999017715454","9.583000183105469","39.17399978637695","497.70001220703125","88.99761962890625","69.06099700927734","7.375",".08013000339269638","< 0","6.400000095367432","15.579999923706055","12.444999694824219","110.00299835205078"
